timestamp,Price [Mdâ‚¬],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bnus_vwap,sigma,bnus_vwmp (upper)
2021-02-24 00:00:00,0.02,48875.0,49096.01,48547.46,48620.48,13.5,660233.28437816,48910.35,127.39,48562.0
2021-02-24 00:05:00,0.01,48645.88,48709.53,48500.0,48608.0,2.64,128196.58613828,48604.25,49.63,48678.43
2021-02-24 00:10:00,0.01,48600.7,48607.31,48129.2,48129.2,8.69,420594.44849616,48423.15,123.74,48451.67
2021-02-24 00:15:00,0.02,48128.0,48128.0,47590.0,47781.78,18.97,907355.98490067,47841.26,139.12,47613.26
2021-02-24 00:20:00,0.02,47777.01,47804.84,47001.88,47055.43,19.69,931255.32896433,47300.64,220.04,47605.05
2021-02-24 00:25:00,0.01,47114.14,47344.7,47010.0,47269.36,6.1,287961.60957781,47209.22,63.93,47171.54
2021-02-24 00:30:00,0.01,47272.36,47698.08,47239.9,47684.48,18.41,874576.35943949,47499.38,102.09,47611.6
2021-02-24 00:35:00,0.01,47654.38,47817.15,47548.55,47700.0,16.28,776423.24814023,47689.77,58.62,47782.52
2021-02-24 00:40:00,0.01,47695.07,47840.0,47584.5,47721.08,7.56,361112.14020846,47736.38,64.5,47755.11
2021-02-24 00:45:00,0.01,47727.91,47912.0,47727.91,47762.54,5.09,243137.64596622,47805.02,37.87,47841.85
2021-02-24 00:50:00,0.01,47763.66,48224.44,47720.01,48198.05,5.69,273216.84475273,47991.83,157.2,48069.26
2021-02-24 00:55:00,0.01,48190.5,48482.38,48138.23,48482.38,5.24,253376.17403711998,48334.66,89.91,48210.43
2021-02-24 01:00:00,0.01,48438.82,48700.0,48438.82,48527.56,7.4,359560.90631613,48607.25,63.12,48625.39
2021-02-24 01:05:00,0.01,48509.2,48899.99,48492.78,48810.24,11.71,570505.1151103401,48702.65,87.81,48675.47
2021-02-24 01:10:00,0.01,48795.93,48981.09,48674.48,48750.0,23.04,1125528.14188777,48855.27,76.24,48702.69
2021-02-24 01:15:00,0.01,48749.99,49068.99,48749.99,49009.36,7.18,351711.86988525,48956.12,66.35,49020.96
2021-02-24 01:20:00,0.01,49033.03,49182.18,48869.22,49173.35,5.14,252181.50570897,49047.45,75.87,49030.23
2021-02-24 01:25:00,0.02,49173.35,49359.42,49120.79,49154.88,11.52,567031.13483589,49233.67,65.84,49280.0
2021-02-24 01:30:00,0.01,49169.14,49197.66,48775.58,48982.18,8.09,395885.1941431,48957.44,109.29,48980.0
2021-02-24 01:35:00,0.01,49008.91,49306.6,48937.36,49285.0,6.67,327946.53655961,49175.57,104.39,48956.99
2021-02-24 01:40:00,0.02,49285.0,49900.0,49285.0,49728.82,19.28,956092.358707,49593.33,161.51,49800.0
2021-02-24 01:45:00,0.01,49715.17,49939.05,49650.0,49796.96,9.09,452839.89408303,49811.28,71.49,49917.47
2021-02-24 01:50:00,0.02,49796.98,49813.19,49518.38,49784.75,9.21,457613.51548741,49689.71,63.97,49796.97
2021-02-24 01:55:00,0.01,49800.0,50214.5,49626.71,50214.49,5.74,286543.30734949,49950.03,145.41,49899.55
2021-02-24 02:00:00,0.02,50171.91,50566.28,49844.07,50531.41,25.25,1268213.12252218,50227.76,190.01,50109.91
2021-02-24 02:05:00,0.01,50511.67,50550.0,50228.68,50309.49,8.74,441092.17410291,50443.07,75.76,50400.0
2021-02-24 02:10:00,0.01,50354.99,50354.99,49960.19,50324.93,7.87,394817.96070254,50174.28,107.22,50236.58
2021-02-24 02:15:00,0.01,50347.09,50347.6,49895.19,50051.66,14.19,710980.53704081,50116.7,129.63,49912.91
2021-02-24 02:20:00,0.01,50076.65,50126.34,49781.14,49865.88,12.26,611790.80944793,49899.12,83.2,50003.67
2021-02-24 02:25:00,0.01,49857.94,50152.81,49854.98,50050.0,5.17,258565.18273209,50012.19,77.38,50006.06
2021-02-24 02:30:00,0.01,50031.42,50351.59,50031.42,50201.88,6.35,318753.09351366997,50223.26,80.02,50178.57
2021-02-24 02:35:00,0.01,50201.88,50489.83,50198.25,50338.19,7.78,391965.96515356,50382.06,63.43,50422.19
2021-02-24 02:40:00,0.01,50318.77,50341.65,50050.02,50094.86,7.67,385040.16230036,50179.14,87.54,50091.0
2021-02-24 02:45:00,0.01,50096.13,50423.49,50096.13,50274.18,4.61,232063.83914777002,50304.84,78.05,50386.4
2021-02-24 02:50:00,0.01,50328.5,50398.55,50199.68,50338.41,7.93,398782.7845857,50316.85,46.55,50274.18
2021-02-24 02:55:00,0.01,50353.15,50400.0,50157.7,50206.46,4.92,247293.83942148002,50291.66,65.69,50250.35
2021-02-24 03:00:00,0.01,50177.5,50477.7,50091.01,50439.84,6.75,339315.79124042,50255.73,117.95,50359.63
2021-02-24 03:05:00,0.01,50434.56,50534.89,50282.73,50310.98,7.18,362374.59727786,50466.57,61.62,50500.0
2021-02-24 03:10:00,0.01,50282.51,50465.95,50260.63,50392.6,5.39,271688.17383912,50367.4,47.42,50295.79
2021-02-24 03:15:00,0.01,50409.54,50481.95,50216.66,50431.35,5.98,301139.4449644,50362.06,63.51,50393.59
2021-02-24 03:20:00,0.01,50466.36,50466.36,50241.43,50297.9,4.51,226747.44885277,50328.52,45.38,50247.08
2021-02-24 03:25:00,0.01,50281.63,50316.63,50200.0,50259.89,4.97,249992.90890173,50264.97,27.19,50303.96
2021-02-24 03:30:00,0.01,50257.57,50391.84,50247.27,50380.64,2.26,113800.82051063,50280.37,28.41,50261.87
2021-02-24 03:35:00,0.01,50391.84,50500.0,50236.75,50500.0,7.14,359485.13167665,50366.38,55.91,50377.48
2021-02-24 03:40:00,0.01,50520.2,50560.2,50389.78,50466.32,6.66,336108.98121603,50487.84,47.85,50520.2
2021-02-24 03:45:00,0.01,50463.88,50722.0,50335.14,50722.0,3.62,182616.12491983,50479.32,109.7,50668.02
2021-02-24 03:50:00,0.01,50704.25,50894.51,50704.25,50812.04,8.8,447362.33866317,50826.88,47.74,50788.0
2021-02-24 03:55:00,0.01,50826.23,50995.25,50801.79,50898.28,16.14,821123.10658791,50868.59,43.66,50972.8
2021-02-24 04:00:00,0.01,50900.61,51109.4,50900.61,51051.12,7.92,403936.80047871,51021.53,47.9,51076.31
2021-02-24 04:05:00,0.01,51036.3,51274.32,51035.0,51207.48,7.17,367106.51707514003,51168.74,45.23,51203.83
2021-02-24 04:10:00,0.01,51215.88,51357.77,51160.48,51306.18,7.27,372779.79099546,51269.68,44.02,51207.92
2021-02-24 04:15:00,0.02,51306.19,51399.11,50918.39,51005.96,24.2,1237442.21510628,51144.39,141.28,51267.09
2021-02-24 04:20:00,0.02,51005.71,51179.46,50831.88,51034.23,16.13,822120.81984224,50975.16,68.04,51035.52
2021-02-24 04:25:00,0.01,51049.38,51078.77,50689.38,50689.38,7.58,385550.85379812,50842.93,108.38,50779.56
2021-02-24 04:30:00,0.01,50700.0,50873.49,50666.51,50780.52,9.77,496127.67902095,50756.9,47.43,50855.08
2021-02-24 04:35:00,0.01,50763.82,50849.98,50618.22,50618.22,7.45,378214.88344574,50740.43,60.02,50621.01
2021-02-24 04:40:00,0.01,50645.5,50645.5,50342.02,50349.55,17.83,900309.91095722,50494.89,79.63,50577.99
2021-02-24 04:45:00,0.01,50349.56,50694.0,50349.56,50694.0,4.31,217610.02697505,50534.17,84.61,50478.51
2021-02-24 04:50:00,0.01,50693.71,50987.83,50665.64,50887.05,7.24,368306.08819551003,50897.13,70.58,50787.65
2021-02-24 04:55:00,0.01,50890.09,50890.09,50614.46,50636.53,5.94,301492.7563062,50771.09,64.67,50829.24
2021-02-24 05:00:00,0.01,50656.06,50930.05,50656.06,50885.24,5.43,275754.60461738,50796.88,80.16,50833.32
2021-02-24 05:05:00,0.01,50885.24,51030.13,50880.0,50984.02,3.35,170757.88749613,50959.86,39.24,50930.45
2021-02-24 05:10:00,0.01,50936.29,50936.29,50560.98,50667.33,5.78,293431.0579168,50726.6,99.96,50695.8
2021-02-24 05:15:00,0.01,50619.56,50619.56,50217.35,50243.87,5.18,261107.98525049,50379.18,100.06,50544.79
2021-02-24 05:20:00,0.02,50248.08,50407.26,49983.24,50112.37,17.91,898320.49896048,50146.23,103.13,50167.25
2021-02-24 05:25:00,0.01,50125.29,50425.8,50042.2,50385.42,7.65,384187.1957202,50199.44,89.06,50352.71
2021-02-24 05:30:00,0.01,50381.62,50402.07,50183.71,50302.58,4.65,233700.10341371,50276.75,46.68,50301.68
2021-02-24 05:35:00,0.0,50280.44,50516.14,50259.66,50485.77,3.69,186061.53908549,50468.15,72.33,50485.77
2021-02-24 05:40:00,0.01,50485.76,50543.0,50265.57,50381.24,6.1,307193.90940542,50380.77,72.15,50400.0
2021-02-24 05:45:00,0.01,50393.29,50500.0,50258.63,50258.63,1.75,88226.32966729,50387.46,56.17,50406.48
2021-02-24 05:50:00,0.01,50248.6,50487.94,50241.0,50352.0,1.98,99789.43984656,50339.24,73.98,50348.84
2021-02-24 05:55:00,0.0,50345.24,50429.55,50217.25,50217.25,2.16,108505.89972227,50307.06,68.66,50360.3
2021-02-24 06:00:00,0.01,50211.36,50543.0,50211.36,50497.99,4.31,217589.70651318,50445.16,70.55,50217.25
2021-02-24 06:05:00,0.01,50499.21,50678.4,50387.39,50502.05,18.96,957327.95559893,50496.9,72.17,50470.93
2021-02-24 06:10:00,0.01,50502.05,50555.86,49599.36,49773.22,10.72,536749.43099175,50061.45,296.91,49650.0
2021-02-24 06:15:00,0.01,49749.44,49933.66,49400.0,49692.0,16.46,816568.8548523299,49613.97,133.45,49400.0
2021-02-24 06:20:00,0.01,49667.24,50091.0,49568.54,50050.48,4.24,211166.58123445,49804.94,164.11,49622.64
2021-02-24 06:25:00,0.01,50089.5,50089.5,49524.08,49692.25,12.12,603378.92735149,49774.73,142.24,49643.74
2021-02-24 06:30:00,0.01,49674.54,49890.99,49524.08,49756.42,9.74,483964.27715688,49694.71,81.53,49754.4
2021-02-24 06:35:00,0.0,49771.05,49856.69,49594.45,49856.69,2.24,111308.89799784,49686.02,72.55,49706.64
2021-02-24 06:40:00,0.01,49852.34,50000.0,49706.01,49999.99,2.51,125127.07155000001,49837.13,77.44,49872.28
2021-02-24 06:45:00,0.01,50000.0,50551.92,49991.0,50179.19,20.09,1011148.0375789499,50332.06,147.43,50141.0
2021-02-24 06:50:00,0.01,50189.36,50189.36,49924.43,49931.89,2.26,112932.11952652,50043.19,57.18,50016.63
2021-02-24 06:55:00,0.0,49943.61,50146.05,49943.61,50093.88,1.38,68938.74645795,50080.85,50.61,49968.43
2021-02-24 07:00:00,0.0,50091.48,50140.69,49924.43,50018.96,0.44,22025.38209794,50024.83,46.92,49998.12
2021-02-24 07:05:00,0.01,50018.26,50076.21,49718.25,49808.64,3.12,155665.17751402,49845.7,114.39,50000.0
2021-02-24 07:10:00,0.0,49808.6,49833.15,49543.0,49599.95,1.55,77121.61356183,49718.32,86.22,49773.07
2021-02-24 07:15:00,0.01,49531.0,49817.94,49501.04,49695.97,16.29,807748.0668697599,49581.24,90.35,49519.99
2021-02-24 07:20:00,0.0,49746.21,49999.46,49733.43,49927.62,2.68,133860.05490198,49891.02,74.11,49941.0
2021-02-24 07:25:00,0.0,49948.94,49948.94,49586.44,49673.11,2.37,118202.58599746,49811.83,114.69,49843.64
2021-02-24 07:30:00,0.0,49712.98,50019.27,49712.98,49933.55,1.32,65938.21638358,49867.81,59.54,49891.0
2021-02-24 07:35:00,0.01,49957.69,50221.64,49861.13,50060.16,5.33,266437.67650539003,50020.47,90.48,50140.69
2021-02-24 07:40:00,0.0,50104.08,50135.43,50022.54,50066.78,3.08,154265.87622938,50061.21,33.55,50034.9
2021-02-24 07:45:00,0.0,50058.1,50245.58,49966.04,50182.27,4.83,241922.5945637,50097.66,66.86,49991.0
2021-02-24 07:50:00,0.0,50165.63,50362.13,50091.0,50133.6,4.76,238961.66592749,50223.97,72.12,50164.22
2021-02-24 07:55:00,0.0,50123.71,50209.75,50042.91,50042.91,1.93,96897.75804101,50105.73,41.49,50161.0
2021-02-24 08:00:00,0.01,50089.2,50218.4,49818.38,50218.4,5.38,269364.99276162,50071.07,97.01,49900.0
2021-02-24 08:05:00,0.01,50225.0,50488.71,50118.95,50485.64,2.38,119675.44570006001,50290.29,100.01,50342.0
2021-02-24 08:10:00,0.0,50446.16,50486.05,50344.09,50486.05,3.34,168556.220263,50405.64,30.6,50459.93
2021-02-24 08:15:00,0.01,50486.05,50884.72,50486.05,50750.66,7.02,356227.52462152,50737.99,118.05,50816.65
2021-02-24 08:20:00,0.01,50722.5,50753.76,50569.38,50668.06,3.44,174038.08471026,50654.95,45.16,50668.06
2021-02-24 08:25:00,0.01,50626.62,50709.92,50538.05,50602.84,7.2,364304.27393624,50611.47,36.56,50625.35
2021-02-24 08:30:00,0.01,50657.58,50876.97,50645.25,50675.08,4.61,234256.05384399,50768.68,59.51,50739.22
2021-02-24 08:35:00,0.01,50705.23,50823.68,50636.8,50728.3,4.8,243588.90827624,50741.94,43.34,50705.23
2021-02-24 08:40:00,0.01,50754.05,50754.05,50420.24,50422.99,2.1,106200.90382147,50576.6,82.32,50489.18
2021-02-24 08:45:00,0.0,50438.22,50527.26,50297.04,50483.37,5.77,291098.02603833,50420.27,68.26,50328.93
2021-02-24 08:50:00,0.0,50471.95,50689.44,50471.95,50673.33,2.52,127557.40539808999,50606.51,68.69,50594.0
2021-02-24 08:55:00,0.01,50644.06,50733.47,50616.15,50658.05,5.84,296146.74693869,50671.9,26.98,50696.28
2021-02-24 09:00:00,0.01,50661.48,50674.44,50434.81,50475.1,5.49,277158.37693831,50525.22,69.52,50597.19
2021-02-24 09:05:00,0.01,50475.09,50606.36,50410.74,50461.61,6.5,328216.62067242,50511.3,42.04,50510.62
2021-02-24 09:10:00,0.01,50479.13,50592.29,50362.72,50592.29,3.37,170093.12793145998,50501.24,53.61,50449.43
2021-02-24 09:15:00,0.01,50592.29,50960.94,50592.29,50918.72,10.73,544922.63548655,50795.95,107.64,50816.01
2021-02-24 09:20:00,0.01,50915.59,51000.0,50746.01,50775.26,10.53,535436.4307085,50869.28,60.69,50874.28
2021-02-24 09:25:00,0.01,50766.16,50882.51,50695.0,50767.53,8.41,427103.70071390003,50811.78,43.14,50801.09
2021-02-24 09:30:00,0.01,50767.53,50979.11,50767.53,50841.46,5.57,283401.07668525,50884.57,56.04,50890.63
2021-02-24 09:35:00,0.01,50840.09,51238.24,50803.55,51238.24,8.42,430096.58556316,51058.47,126.78,51051.0
2021-02-24 09:40:00,0.01,51228.84,51402.65,51102.03,51308.78,4.44,227642.87020167,51243.78,71.92,51222.27
2021-02-24 09:45:00,0.01,51334.2,51334.2,50944.56,50974.66,3.58,182852.67212088002,51145.76,69.35,51118.1
2021-02-24 09:50:00,0.01,50947.11,51098.18,50894.44,50906.63,3.4,173422.48002313,50947.77,40.82,50914.08
2021-02-24 09:55:00,0.01,50923.46,50934.27,50864.1,50904.26,3.96,201436.90661466,50894.99,12.6,50920.79
2021-02-24 10:00:00,0.01,50908.49,51042.97,50898.0,50911.24,1.73,88357.04704476,50947.16,40.54,50909.38
2021-02-24 10:05:00,0.01,50905.66,51025.96,50726.73,50988.79,2.58,131054.72563132,50862.23,66.77,50843.72
2021-02-24 10:10:00,0.01,50973.04,50973.04,50622.7,50683.76,4.02,204070.43323114,50790.64,101.65,50627.69
2021-02-24 10:15:00,0.01,50671.99,50671.99,50368.42,50557.56,3.85,194342.92508854,50501.72,66.8,50494.55
2021-02-24 10:20:00,0.01,50555.03,50660.04,50246.1,50262.43,7.25,365969.39450467,50471.28,122.76,50557.56
2021-02-24 10:25:00,0.01,50262.43,50546.27,50178.57,50452.62,4.5,226430.74191012,50368.42,106.61,50262.43
2021-02-24 10:30:00,0.01,50435.31,50621.67,50435.31,50524.9,4.53,229206.61499113002,50557.88,40.96,50599.98
2021-02-24 10:35:00,0.01,50515.47,50515.47,50266.71,50338.67,4.61,231885.15148049,50354.55,49.77,50354.01
2021-02-24 10:40:00,0.01,50375.17,50569.46,50375.17,50543.03,3.88,196091.21026725,50512.39,54.82,50448.69
2021-02-24 10:45:00,0.0,50569.74,50620.44,50493.61,50549.66,1.23,62146.36816381,50535.49,32.21,50498.55
2021-02-24 10:50:00,0.0,50549.65,50611.92,50342.01,50384.78,3.87,195105.16937118,50466.9,75.74,50476.46
2021-02-24 10:55:00,0.01,50367.03,50442.09,50099.68,50111.98,3.32,166498.24751637998,50222.47,112.89,50126.58
2021-02-24 11:00:00,0.01,50113.4,50513.79,50113.4,50451.06,4.06,204378.61443813,50291.78,95.89,50430.25
2021-02-24 11:05:00,0.01,50433.7,50621.67,50424.03,50520.11,3.18,160888.42399688,50566.51,38.62,50503.62
2021-02-24 11:10:00,0.0,50520.11,50600.95,50406.31,50407.52,1.39,70297.34378552,50507.64,52.78,50501.11
2021-02-24 11:15:00,0.0,50417.55,50468.47,50271.57,50337.48,1.0,50624.842681609996,50376.44,51.13,50335.66
2021-02-24 11:20:00,0.01,50340.0,50876.08,50340.0,50869.82,2.41,121566.38698488999,50539.75,167.34,50610.61
2021-02-24 11:25:00,0.0,50820.36,50905.69,50730.97,50765.68,1.11,56392.85827122,50792.94,46.3,50788.49
2021-02-24 11:30:00,0.01,50757.43,50872.93,50649.58,50684.71,0.93,47330.44927153,50773.23,56.34,50709.68
2021-02-24 11:35:00,0.0,50680.46,50757.08,50625.01,50625.04,0.92,46651.529832349996,50712.59,37.61,50625.01
2021-02-24 11:40:00,0.01,50636.0,50670.6,50371.28,50375.94,8.48,428092.2834024,50465.92,82.26,50551.16
2021-02-24 11:45:00,0.0,50429.8,50500.93,50342.0,50382.99,0.62,31190.09919999,50415.57,40.79,50395.52
2021-02-24 11:50:00,0.0,50385.22,50406.19,50246.9,50321.74,2.09,105270.92020066,50315.03,35.21,50340.66
